,created_at,id_str,Company_to_Customer,in_reply_to_status_id_str,in_reply_to_user_id_str,in_reply_to_screen_name,Text,replyToSN,created,replyToSID,id,replyToUID,screenName
31,Wed Jul 05 17:04:48 +0000 2017,8.82646E+17,"@PaulIngramUK Hi Paul, I'm sorry that's not great. What's happened? I'm here if you need any help. Thanks, Tracey",8.82644E+17,366616156,PaulIngramUK,@BritishGas totally sub standard service 2nd failed meter replacement attempt 7day then 48hr #blackhole #CustomerExperience,BritishGas,05/07/2017 16:53,NA,8.82644E+17,46630225,PaulIngramUK
32,Wed Jul 05 17:00:25 +0000 2017,8.82645E+17,"@KnaresboroNow Thanks for sharing this and you're correct should never give details out if you think it's suspicious. Cheers, Sharon",8.82644E+17,1209532956,KnaresboroNow,SCAMTASTIC!!!! I received a phone call earlier from a landline number claiming to be from British Gas - rather... https://t.co/dy24sb69v2,NA,05/07/2017 16:56,NA,8.82644E+17,NA,KnaresboroNow
33,Wed Jul 05 16:57:05 +0000 2017,8.82645E+17,"@PapaGB Hi, that's not good to hear. Pls DM me your details so I can look into this for you. Thanks, Paul",8.82643E+17,46976050,PapaGB,.@BritishGas got a service yesterday. Engineer flooded and damaged my room. Contract manager is not helpful and says claim off my insurance.,NA,05/07/2017 16:49,NA,8.82643E+17,NA,PapaGB
34,Wed Jul 05 16:39:10 +0000 2017,8.8264E+17,"@lankyjaneb Hi Jane, that's right. You just need to log into your online account to sign up to it. Thanks, Shelley",8.82638E+17,245903631,lankyjaneb,@BritishGas I received an email asking to join rewards but when I click it only takes me to my account. No rewards,BritishGas,05/07/2017 16:31,NA,8.82638E+17,46630225,lankyjaneb
35,Wed Jul 05 16:33:23 +0000 2017,8.82639E+17,"@chrism4lcolm Hi Christopher, thanks for the shout out. Can you pls DM me your address and I'll send your message to Brian. Cheers, Paul :)",8.82637E+17,252010944,chrism4lcolm,Massive thanks to @BritishGas for fixing my boiler today; twas a nasty job. Engineer Brian delivered an amazing A* customer service. Bravo!,NA,05/07/2017 16:28,NA,8.82637E+17,NA,chrism4lcolm
36,Wed Jul 05 16:04:25 +0000 2017,8.82631E+17,"@StephGlenholmes Hi Stephanie, that's not good to hear. Can I help at all? Thanks, Paul",8.82624E+17,304334657,StephGlenholmes,"@BritishGas what an absolute joke! Trying to contact an they hang up, advisors not ringing back! #nocustomerservice #robbingbastards",BritishGas,05/07/2017 15:34,NA,8.82624E+17,46630225,StephGlenholmes
37,Wed Jul 05 15:35:10 +0000 2017,8.82624E+17,"@MindB0ttled Hey, not what we want to hear. Is it a case handler that was due to call you back? Sarah",8.82622E+17,238102007,MindB0ttled,What's with @BritishGasHelp saying they'll ring me back and never actually do...,NA,05/07/2017 15:27,NA,8.82622E+17,NA,MindB0ttled
38,Wed Jul 05 14:38:15 +0000 2017,8.8261E+17,"@stefiamico Hi Stefi, If you DM me your full address, tele number &amp; up to date meter reads I'll be able to look int… https://t.co/cyPbX6BP8A",8.82608E+17,42839235,stefiamico,I use my house in England for about 3 months of the year but my British Gas bill estimate is en par with Auschwitz.,NA,05/07/2017 14:32,NA,8.82608E+17,NA,stefiamico
39,Wed Jul 05 14:28:04 +0000 2017,8.82607E+17,@Savvy_Catherine I'm sorry to hear that Catherine. I hope you'll reconsider.,8.826E+17,373482712,Savvy_Catherine,@BritishGasHelp I've done that but you know what the damage is done and trust shattered you've offered me same premium it makes no sense,BritishGasHelp,05/07/2017 13:59,8.82599E+17,8.826E+17,431673892,Savvy_Catherine
40,Wed Jul 05 14:12:33 +0000 2017,8.82603E+17,"@DanielBowyer10 Sorry you've not had the call yet Daniel, I've emailed over to George now to chase this for you. ^Shelley",8.82587E+17,8.53016E+17,DanielBowyer10,"@BritishGas ""Oh what a surprise, Still waiting for my promised call back at 13.00."" I should have known!",BritishGas,05/07/2017 13:10,NA,8.82587E+17,46630225,DanielBowyer10
42,Wed Jul 05 13:56:21 +0000 2017,8.82599E+17,"@Savvy_Catherine And see if they can offer you a better price. Thanks, Paul 2/2",8.82579E+17,373482712,Savvy_Catherine,Unbelievable @BritishGas an increase of 16.8 % for the same service guess what not renewing and now transferring al… https://t.co/b8pByibXMr,NA,05/07/2017 12:36,NA,8.82579E+17,NA,Savvy_Catherine
43,Wed Jul 05 13:55:56 +0000 2017,8.82599E+17,"@Savvy_Catherine Hi Catherine, that's not good to hear best thing to do is call the number on your renewal and tell… https://t.co/BbNjJtTB2Y",8.82579E+17,373482712,Savvy_Catherine,Unbelievable @BritishGas an increase of 16.8 % for the same service guess what not renewing and now transferring al… https://t.co/b8pByibXMr,NA,05/07/2017 12:36,NA,8.82579E+17,NA,Savvy_Catherine
44,Wed Jul 05 12:26:06 +0000 2017,8.82576E+17,"@t1m670 Hi Tim, sounds like the new key's been linked with your meter. Can you DM your full name, address &amp; account… https://t.co/vzi9441Ooi",8.82574E+17,63951551,t1m670,"@BritishGasHelp 2/2 however, we put money on the original electric key but now it says ""error"" when we put it in the meter.",BritishGasHelp,05/07/2017 12:16,NA,8.82574E+17,431673892,t1m670
45,Wed Jul 05 12:04:35 +0000 2017,8.82571E+17,"@rachroberts1989 Hi Rachel, sounds like we need to look into this for you. If you DM me your full address &amp; email I… https://t.co/jSPDugdN7I",8.82568E+17,871535120,rachroberts1989,@WestYorksPolice @BritishGasHelp OFGEM will also be made aware,rachgriffiths89,05/07/2017 11:54,8.82567E+17,8.82568E+17,871535120,rachgriffiths89
46,Wed Jul 05 11:58:33 +0000 2017,8.82569E+17,@speedina I get how annoying that must be! Try deleting your cookies &amp; cache or using a different web browser. That… https://t.co/AmCD6DFFkJ,8.82568E+17,19714800,speedina,"@BritishGasHelp Yikes, your email page is hopeless - every time I try and type into a box for my reply details it deletes what I've written!",BritishGasHelp,05/07/2017 11:54,NA,8.82568E+17,431673892,speedina
49,Wed Jul 05 11:39:31 +0000 2017,8.82565E+17,"@KnaresboroNow Hi there, I can look into this for you. Can you let me know what number called you? Thanks, Faith",8.82552E+17,1209532956,KnaresboroNow,SCAMTASTIC!!!! I've just received a phone call from a landline number claiming to be from British Gas - rather... https://t.co/o5hvD84k0p,NA,05/07/2017 10:51,NA,8.82552E+17,NA,KnaresboroNow
50,Wed Jul 05 11:16:08 +0000 2017,8.82559E+17,@adam1986uk If you have the upgrade at the new house and experience any issues we'll be here for you Adam :) Sarah,8.82555E+17,7.47844E+17,adam1986uk,@co5design @BritishGas @BritishGasHelp I was having the same issue but I just sold my house so hopefully the new ho… https://t.co/PHzgojSdbW,co5design,05/07/2017 11:01,8.82526E+17,8.82555E+17,563520773,adam1986uk
51,Wed Jul 05 11:07:13 +0000 2017,8.82556E+17,"@David_Ninny Hi David, have you checked to make sure the meter readings are correct and not estimated? Thanks, Sharon",8.82555E+17,2863320742,David_Ninny,@BritishGas so my bill is around £100 probably. Nobody lives in the house and its being renovated.  Care to explain… https://t.co/rIIjKmqHdq,BritishGas,05/07/2017 11:01,NA,8.82555E+17,46630225,David_Ninny
52,Wed Jul 05 11:03:16 +0000 2017,8.82555E+17,"@nataliecrezza Great news Natalie and thanks for taking time to post your lovely comments :-) Cheers, Sharon",8.82555E+17,726713814,nataliecrezza,Day 2 of @BritishGas engineers fitting my new boiler - have to say extremely #impressed with the #work &amp; their #Professionalism. #goodjob!,NA,05/07/2017 11:00,NA,8.82555E+17,NA,nataliecrezza
53,Wed Jul 05 10:54:57 +0000 2017,8.82553E+17,"@co5design It's 0333 202 9821 open until 8pm tonight. Cheers, Dan",8.82553E+17,563520773,co5design,@BritishGasHelp what's the number for the smart metering team?,BritishGasHelp,05/07/2017 10:52,8.82553E+17,8.82553E+17,431673892,co5design
54,Wed Jul 05 10:51:33 +0000 2017,8.82553E+17,"@co5design I found the thread &amp; it looks to be a signal issue which we're unable to resolve for you. Sorry about that. Cheers, Dan",8.82549E+17,563520773,co5design,@BritishGasHelp all the information is in the existing DM thread. The engineer who fitted the second monitor knows… https://t.co/TGIqjuehlz,BritishGasHelp,05/07/2017 10:39,8.82548E+17,8.82549E+17,431673892,co5design
55,Wed Jul 05 10:43:29 +0000 2017,8.8255E+17,"@gilbertandgrim Hi Wendy, is everything sorted now? DM me if you need anything ^ Lauren",8.82548E+17,213157192,gilbertandgrim,I love British Gas sometimes. After having to go through setting up my account twice because they forgot to activate it the first time I-,NA,05/07/2017 10:34,NA,8.82548E+17,NA,gilbertandgrim
56,Wed Jul 05 10:35:07 +0000 2017,8.82548E+17,@DrMousavi Ahh I see. If you want to pop me a DM with your full address &amp; DoB I'll have a look for you. https://t.co/dlgcd3TRmR,8.82547E+17,98685780,DrMousavi,@BritishGasHelp Well I e asked BritishGas for an explanation and no answer yet after one year,BritishGasHelp,05/07/2017 10:27,8.82546E+17,8.82547E+17,431673892,DrMousavi
58,Wed Jul 05 10:33:44 +0000 2017,8.82548E+17,"@co5design Ah sorry, first time I've spoken to you about it &amp; my name is Dan. If you DM your info over I'll see if… https://t.co/Y1JIYv6jsw",8.82542E+17,563520773,co5design,@BritishGasHelp Well I have told you MANY MANY times that the ONLY way to get it closer is to put it outside and ye… https://t.co/6GilWcE7N5,BritishGasHelp,05/07/2017 10:10,8.82542E+17,8.82542E+17,431673892,co5design
59,Wed Jul 05 10:28:58 +0000 2017,8.82547E+17,@charlton_shaun I can find out what's going on; please can you just DM your full address &amp; D.o.B.,8.82545E+17,484728263,charlton_shaun,@BritishGasHelp Yes we had a letter to say our bills were staying the same next thing we know they have been nearly… https://t.co/pLGoaLeDBQ,BritishGasHelp,05/07/2017 10:22,8.82524E+17,8.82545E+17,431673892,charlton_shaun
60,Wed Jul 05 10:24:05 +0000 2017,8.82546E+17,"@DrMousavi Hi Seyed, this doesn't sound good. Is there anything I can help with? Thanks, Lauren",8.82544E+17,98685780,DrMousavi,@BritishGas is aggressively chasing a bill which is issued by their mistake. It's not worming homes #BritishGas is destroying homes.,BritishGas,05/07/2017 10:15,NA,8.82544E+17,46630225,DrMousavi
61,Wed Jul 05 10:08:22 +0000 2017,8.82542E+17,@SimpleSimon8 No but it's always been something you have a responsbility to do; however we'll always do our best to take meter readings too.,8.8254E+17,385898501,SimpleSimon8,@BritishGasHelp I'm sure. Tks altho I think you're missing the point. Is my gas elec cheaper because I do my own meter reading? #dontthinkso,BritishGasHelp,05/07/2017 10:02,8.82534E+17,8.8254E+17,431673892,SimpleSimon8
62,Wed Jul 05 10:08:15 +0000 2017,8.82542E+17,@co5design Nobody has ever asked me to be honest <f0><U+009F><U+00A4><U+0094> We've not specificed they are so I'm guessing they're not.,8.82541E+17,563520773,co5design,"@BritishGasHelp I'm doing it now, I trust it's water proof??",BritishGasHelp,05/07/2017 10:06,8.82541E+17,8.82541E+17,431673892,co5design
63,Wed Jul 05 10:05:03 +0000 2017,8.82541E+17,"@co5design Have you tried moving it closer than ""5 (five, FIVE) feet, 60 inches, 1.5metres, 150cm, 1500mm""?",8.82536E+17,563520773,co5design,"@BritishGasHelp yes, this is my 2nd monitor that can't penetrate a SINGLE wall and transmit 5 (five, FIVE) feet, 60… https://t.co/t39FdboyWV",BritishGasHelp,05/07/2017 09:46,8.8253E+17,8.82536E+17,431673892,co5design
64,Wed Jul 05 09:53:03 +0000 2017,8.82538E+17,@laurathecov Ah ok. Let me check to see what's going on for you. Pop me over a DM with your full address &amp; DoB.,8.82537E+17,399327190,laurathecov,@BritishGasHelp We switched from a pay as you go to a credit meter &amp; have been able to submit elec reading to get a bill but not the gas yet,BritishGasHelp,05/07/2017 09:49,8.82505E+17,8.82537E+17,431673892,laurathecov
65,Wed Jul 05 09:50:05 +0000 2017,8.82537E+17,@EmmaEmmsr 2/2 complaints handling procedure online https://t.co/dq5j6n0NRI,8.82532E+17,1181908645,EmmaEmmsr,@BritishGasHelp What do you suggest I do?  And why should I still pay you for a boiler that I can't use? engineer b… https://t.co/JaCND7QXMl,BritishGasHelp,05/07/2017 09:29,8.82529E+17,8.82532E+17,431673892,EmmaEmmsr
66,Wed Jul 05 09:49:57 +0000 2017,8.82537E+17,@EmmaEmmsr 1/2 I assure you every effort will be made to get the part as quickly as possible. You can view our,8.82532E+17,1181908645,EmmaEmmsr,@BritishGasHelp What do you suggest I do?  And why should I still pay you for a boiler that I can't use? engineer b… https://t.co/JaCND7QXMl,BritishGasHelp,05/07/2017 09:29,8.82529E+17,8.82532E+17,431673892,EmmaEmmsr
67,Wed Jul 05 09:39:41 +0000 2017,8.82534E+17,@racheljosephs Ah ok. Can you send me over a DM with your full address &amp; email so I can check this for you.,8.82523E+17,239122690,racheljosephs,@BritishGasHelp Hi the message is oops something went wrong. Sorry we are having technical problems at the moment.… https://t.co/pEHBe5XBLl,BritishGasHelp,05/07/2017 08:53,8.82501E+17,8.82523E+17,431673892,racheljosephs
68,Wed Jul 05 09:37:17 +0000 2017,8.82534E+17,@SimpleSimon8 that will be available for all our customers &amp; we'll be in touch as soon as we can fit them in your home. 2/2,8.82532E+17,385898501,SimpleSimon8,@BritishGasHelp I sent you a reading on the day I switched online and my area doesn't fit smart meters yet,BritishGasHelp,05/07/2017 09:31,8.82523E+17,8.82532E+17,431673892,SimpleSimon8
69,Wed Jul 05 09:37:05 +0000 2017,8.82534E+17,@SimpleSimon8 Thanks for submitting the reading. I'm sorry to hear we can't fit a smart meter for you at the moment but it's something 1/2,8.82532E+17,385898501,SimpleSimon8,@BritishGasHelp I sent you a reading on the day I switched online and my area doesn't fit smart meters yet,BritishGasHelp,05/07/2017 09:31,8.82523E+17,8.82532E+17,431673892,SimpleSimon8
70,Wed Jul 05 09:32:29 +0000 2017,8.82533E+17,"@maz1981phoenix Hi Marina, please DM your full address, phone no. &amp; I'll check the available appointments. Thanks, Matt",8.82528E+17,26136813,maz1981phoenix,@BritishGasHelp My dishwasher doesn't have any power but the socket works. Can you send someone to have a look at it please?,BritishGasHelp,05/07/2017 09:13,NA,8.82528E+17,431673892,maz1981phoenix
71,Wed Jul 05 09:28:08 +0000 2017,8.82532E+17,"@joeross00 Hi Joe, doesn't sound good! Are we waiting for a part? Thanks, Sharon",8.82524E+17,7.29227E+17,joeross00,"As if we've gone 6 days now without hot water. Ffs @BritishGas, sort your shit out",NA,05/07/2017 08:56,NA,8.82524E+17,NA,joeross00
72,Wed Jul 05 09:26:56 +0000 2017,8.82531E+17,"@platinummind Great news and thanks for taking time to tweet your lovely comments :-) Cheers, Sharon",8.82521E+17,19502391,platinummind,@BritishGas your engineers are amazing - they said between now and 1 they are arriving in ten minutes!,BritishGas,05/07/2017 08:46,NA,8.82521E+17,46630225,platinummind
73,Wed Jul 05 09:25:29 +0000 2017,8.82531E+17,"@shazpunk Hi Sharon, that's odd. Can you tell me whats displayed on the meter? Cheers, Dan https://t.co/dlgcd3TRmR",8.82529E+17,49432210,shazpunk,@BritishGasHelp Hello topped up my smart meter an hour ago credit showing on meter but electricity hasn't come back on help?,BritishGasHelp,05/07/2017 09:17,NA,8.82529E+17,431673892,shazpunk
74,Wed Jul 05 09:22:18 +0000 2017,8.8253E+17,"@co5design Hi, have you spoke to our Smart Team about this? Cheers, Dan",8.82526E+17,563520773,co5design,"A @BritishGas ""SMART"" meter - possible the world's DUMBEST thing <ed><U+00A0><U+00BD><ed><U+00B8><U+00A0><ed><U+00A0><U+00BD><ed><U+00B8><U+00A0><ed><U+00A0><U+00BD><ed><U+00B8><U+00A0><ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008E> https://t.co/7Q02Oh9SAT",NA,05/07/2017 09:05,NA,8.82526E+17,NA,co5design
75,Wed Jul 05 09:19:44 +0000 2017,8.82529E+17,"@SusanLimbert No worries at all, if you need anything else, please give me a shout.",8.82523E+17,335323238,SusanLimbert,@BritishGasHelp Thankyou,BritishGasHelp,05/07/2017 08:54,8.82519E+17,8.82523E+17,431673892,SusanLimbert
76,Wed Jul 05 09:19:03 +0000 2017,8.82529E+17,"@EmmaEmmsr I know it's not ideal Emma, unfortunately without the part the engineer won't be able to fix the boiler.",8.82529E+17,1181908645,EmmaEmmsr,"@BritishGasHelp And one of your engineers broke when servicing.  I will have had no hot water for 7 days now, add t… https://t.co/2xdjPgRICo",BritishGasHelp,05/07/2017 09:16,8.82528E+17,8.82529E+17,431673892,EmmaEmmsr
77,Wed Jul 05 09:12:25 +0000 2017,8.82528E+17,@EmmaEmmsr I'm sorry we can't get the part to get this fixed for you. Once the part is available our Parts Team wil… https://t.co/XT4ky8gCI0,8.82527E+17,1181908645,EmmaEmmsr,"@BritishGasHelp no engineer at the allotted time, call to say spare part not available for 7-10 days.  I have two children fuming <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>",BritishGasHelp,05/07/2017 09:10,NA,8.82527E+17,431673892,EmmaEmmsr
78,Wed Jul 05 09:06:50 +0000 2017,8.82526E+17,"@gilo7567 Hi Giles, I'm sure the engineer will help make it a perfect day but just pop me a tweet if you need a hand. Cheers, Matt",8.82522E+17,134869620,gilo7567,"Like the late great Lou Read -"" I'm waiting for the man "" - but in my case its the British Gas man to service my boiler..........",NA,05/07/2017 08:51,NA,8.82522E+17,NA,gilo7567
79,Wed Jul 05 08:56:17 +0000 2017,8.82524E+17,"@charlton_shaun Hi Shaun, are you referring to DD payments as you should always be told in advance of any changes Thanks, Matt",8.82522E+17,484728263,charlton_shaun,@BritishGas do you think it's acceptable to triple my bills!!! without notification and think it's ok to miss advise your customers #jokers,BritishGas,05/07/2017 08:48,NA,8.82522E+17,46630225,charlton_shaun
80,Wed Jul 05 08:55:02 +0000 2017,8.82523E+17,"@kyleS19880 Please DM your full address, D.o.B &amp; I'll see what I can do to get the card ordered for you.",8.82515E+17,2566051194,kyleS19880,@BritishGasHelp Have tried to call but allways on hold,BritishGasHelp,05/07/2017 08:23,8.82515E+17,8.82515E+17,431673892,kyleS19880
81,Wed Jul 05 08:53:56 +0000 2017,8.82523E+17,@SimpleSimon8 when your account's all set up we can look into fitting smart meters so you wouldn't have to submit r… https://t.co/bUv6yUTa0C,8.82514E+17,385898501,SimpleSimon8,Leaving #EDF joining #Britishgas why  can't one of you come round and do my meter reading? #utilities #doityourself #noserviceculture,NA,05/07/2017 08:17,NA,8.82514E+17,NA,SimpleSimon8
82,Wed Jul 05 08:53:50 +0000 2017,8.82523E+17,@SimpleSimon8 we've no obligation to do. When you switch please pop your opening reading online at https://t.co/XhlF1BfRmP &amp; 2/3,8.82514E+17,385898501,SimpleSimon8,Leaving #EDF joining #Britishgas why  can't one of you come round and do my meter reading? #utilities #doityourself #noserviceculture,NA,05/07/2017 08:17,NA,8.82514E+17,NA,SimpleSimon8
83,Wed Jul 05 08:53:44 +0000 2017,8.82523E+17,"@SimpleSimon8 Hi Simon, once you've switched we'll ask the meter readers to visit each quarter but it's not always… https://t.co/c4szNAGFBh",8.82514E+17,385898501,SimpleSimon8,Leaving #EDF joining #Britishgas why  can't one of you come round and do my meter reading? #utilities #doityourself #noserviceculture,NA,05/07/2017 08:17,NA,8.82514E+17,NA,SimpleSimon8
